0,1
884,116
866,134
731,269
617,383
481,519
427,573
357,643
364,636
427,573
561,439
682,318
720,280
662,338
580,420
494,506
438,562
450,550
500,500
549,451
628,372
624,376
583,417
456,544
482,518
491,509
512,488
541,459
573,427
523,477
518,482
504,496
492,508
495,505
518,482
548,452
530,470
515,485
493,507
532,468
514,486
562,438
517,483
473,527
505,495
508,492
526,474
532,468
545,455
519,481
544,456
495,505
513,487
479,521
535,465
498,502
535,465
518,482
518,482
531,469
520,480
498,502
544,456
507,493
539,461
541,459
535,465
504,496
488,512
532,468
507,493
516,484
504,496
524,476
511,489
542,458
498,502
535,465
531,469
509,491
508,492
510,490
508,492
511,489
508,492
493,507
507,493
522,478
488,512
513,487
529,471
528,472
518,482
530,470
511,489
499,501
515,485
501,499
496,504
486,514
478,522
