0,1
892,108
906,94
906,94
889,111
865,135
838,162
805,195
770,230
740,260
715,285
704,296
676,324
655,345
665,335
634,366
638,362
652,348
645,355
655,345
664,336
666,334
707,293
680,320
691,309
714,286
720,280
719,281
738,262
741,259
757,243
740,260
735,265
721,279
742,258
753,247
743,257
764,236
753,247
734,266
757,243
743,257
745,255
763,237
743,257
761,239
754,246
765,235
782,218
753,247
733,267
760,240
742,258
738,262
732,268
751,249
722,278
734,266
745,255
749,251
734,266
701,299
697,303
701,299
704,296
695,305
712,288
703,297
732,268
740,260
722,278
709,291
727,273
753,247
770,230
752,248
752,248
772,228
750,250
763,237
786,214
781,219
777,223
773,227
754,246
791,209
760,240
763,237
768,232
753,247
736,264
758,242
728,272
755,245
737,263
732,268
746,254
734,266
742,258
720,280
736,264
