0,1
882,118
883,117
852,148
826,174
784,216
742,258
714,286
671,329
673,327
633,367
597,403
571,429
551,449
497,503
494,506
418,582
396,604
357,643
373,627
330,670
343,657
326,674
370,630
376,624
439,561
423,577
447,553
533,467
537,463
550,450
559,441
585,415
617,383
607,393
604,396
635,365
641,359
564,436
564,436
544,456
523,477
506,494
463,537
448,552
454,546
461,539
477,523
460,540
499,501
486,514
528,472
519,481
532,468
545,455
568,432
557,443
552,448
541,459
520,480
519,481
511,489
504,496
504,496
483,517
487,513
494,506
514,486
521,479
509,491
528,472
496,504
524,476
530,470
539,461
513,487
509,491
526,474
522,478
501,499
507,493
501,499
528,472
494,506
519,481
515,485
504,496
488,512
518,482
529,471
513,487
531,469
528,472
494,506
522,478
511,489
506,494
533,467
526,474
521,479
526,474
