0,1
903,97
911,89
899,101
909,91
920,80
909,91
898,102
883,117
864,136
874,126
887,113
863,137
856,144
845,155
865,135
841,159
830,170
829,171
817,183
790,210
804,196
796,204
767,233
794,206
772,228
747,253
749,251
770,230
744,256
750,250
742,258
760,240
746,254
694,306
713,287
729,271
697,303
724,276
720,280
702,298
719,281
714,286
722,278
695,305
716,284
708,292
702,298
696,304
678,322
674,326
692,308
707,293
681,319
664,336
662,338
666,334
677,323
661,339
678,322
690,310
671,329
680,320
694,306
664,336
656,344
648,352
642,358
628,372
661,339
629,371
641,359
577,423
602,398
588,412
624,376
601,399
592,408
577,423
579,421
568,432
520,480
528,472
498,502
524,476
513,487
503,497
510,490
469,531
472,528
474,526
452,548
481,519
461,539
451,549
465,535
453,547
434,566
431,569
409,591
453,547
