00000,00001,10000,00010,00100,01000,01100,10001,10010,10100,11000,11001,11010,11100,11111,00011,00101,00110,00111,01001,01010,01101,01110,10011,10101,10110,11011,11110,01011,01111,10111,11101
960,16,8,5,2,8,1,,,,,,,,,,,,,,,,,,,,,,,,,
629,63,41,106,43,40,3,7.0,5.0,4.0,5.0,1.0,1.0,2.0,1.0,17.0,6.0,12.0,1.0,4.0,7.0,1.0,1.0,,,,,,,,,
387,86,41,125,69,56,9,7.0,19.0,12.0,7.0,3.0,3.0,4.0,2.0,49.0,20.0,31.0,8.0,12.0,19.0,3.0,4.0,6.0,3.0,4.0,3.0,1.0,5.0,2.0,,
231,77,35,126,57,70,10,18.0,21.0,12.0,14.0,8.0,10.0,7.0,2.0,53.0,18.0,40.0,34.0,22.0,47.0,4.0,14.0,12.0,4.0,15.0,6.0,4.0,18.0,6.0,4.0,1.0
125,65,34,98,46,37,24,22.0,22.0,16.0,25.0,18.0,21.0,7.0,11.0,74.0,24.0,35.0,48.0,27.0,49.0,17.0,8.0,23.0,15.0,7.0,10.0,8.0,42.0,16.0,14.0,12.0
74,50,18,92,49,42,24,17.0,12.0,22.0,25.0,24.0,31.0,20.0,18.0,61.0,34.0,35.0,34.0,43.0,54.0,13.0,30.0,20.0,11.0,21.0,20.0,20.0,35.0,20.0,11.0,20.0
41,34,19,61,46,30,33,16.0,21.0,36.0,33.0,29.0,33.0,33.0,29.0,53.0,33.0,37.0,43.0,48.0,39.0,31.0,26.0,16.0,12.0,14.0,18.0,22.0,37.0,36.0,11.0,30.0
49,37,28,47,41,37,39,27.0,28.0,24.0,30.0,22.0,31.0,25.0,24.0,39.0,29.0,21.0,34.0,31.0,56.0,33.0,22.0,21.0,25.0,20.0,31.0,20.0,48.0,26.0,26.0,29.0
39,34,31,45,29,42,30,25.0,26.0,33.0,38.0,21.0,25.0,28.0,33.0,33.0,32.0,25.0,25.0,24.0,45.0,35.0,21.0,34.0,28.0,25.0,27.0,33.0,33.0,33.0,22.0,46.0
40,27,36,36,28,37,24,37.0,31.0,33.0,36.0,35.0,35.0,21.0,34.0,28.0,32.0,26.0,28.0,23.0,27.0,31.0,38.0,34.0,29.0,41.0,28.0,23.0,32.0,22.0,39.0,29.0
37,47,41,39,33,32,27,35.0,32.0,28.0,35.0,29.0,35.0,33.0,28.0,43.0,26.0,26.0,19.0,34.0,28.0,31.0,28.0,36.0,25.0,26.0,32.0,29.0,34.0,23.0,25.0,24.0
43,34,40,51,27,26,24,49.0,48.0,39.0,34.0,34.0,29.0,29.0,30.0,37.0,33.0,24.0,24.0,25.0,26.0,21.0,24.0,20.0,28.0,32.0,31.0,37.0,17.0,15.0,38.0,31.0
39,30,36,34,42,26,30,35.0,37.0,36.0,35.0,37.0,45.0,31.0,28.0,33.0,29.0,32.0,26.0,31.0,23.0,25.0,22.0,25.0,28.0,31.0,29.0,34.0,20.0,20.0,39.0,32.0
36,32,36,38,26,34,21,30.0,33.0,20.0,41.0,34.0,25.0,44.0,45.0,35.0,35.0,34.0,35.0,28.0,27.0,23.0,26.0,22.0,26.0,39.0,39.0,32.0,26.0,22.0,27.0,29.0
35,37,31,39,32,35,31,27.0,40.0,28.0,41.0,35.0,28.0,37.0,35.0,32.0,32.0,29.0,35.0,26.0,33.0,32.0,18.0,27.0,21.0,23.0,28.0,28.0,37.0,32.0,24.0,32.0
32,30,35,35,34,25,31,18.0,22.0,28.0,35.0,30.0,37.0,49.0,40.0,36.0,28.0,31.0,39.0,23.0,22.0,20.0,27.0,27.0,25.0,26.0,39.0,41.0,37.0,32.0,28.0,38.0
46,42,20,39,41,41,28,21.0,29.0,26.0,37.0,25.0,23.0,38.0,34.0,36.0,36.0,29.0,45.0,28.0,18.0,22.0,29.0,26.0,28.0,22.0,47.0,29.0,31.0,27.0,32.0,25.0
60,40,25,36,41,28,27,24.0,28.0,29.0,30.0,28.0,30.0,26.0,28.0,39.0,39.0,37.0,36.0,34.0,26.0,27.0,26.0,36.0,37.0,31.0,30.0,26.0,23.0,16.0,32.0,25.0
40,32,31,46,43,32,29,32.0,34.0,33.0,25.0,33.0,27.0,27.0,20.0,44.0,34.0,35.0,37.0,47.0,30.0,30.0,25.0,34.0,15.0,23.0,32.0,28.0,20.0,26.0,27.0,29.0
32,39,33,47,39,28,32,26.0,32.0,31.0,26.0,32.0,23.0,25.0,22.0,34.0,31.0,43.0,46.0,30.0,22.0,29.0,28.0,34.0,32.0,33.0,19.0,37.0,36.0,22.0,24.0,33.0
45,31,29,33,35,41,39,32.0,34.0,35.0,39.0,30.0,31.0,30.0,31.0,42.0,34.0,37.0,39.0,24.0,27.0,33.0,33.0,25.0,33.0,28.0,19.0,37.0,20.0,23.0,8.0,23.0
33,38,35,39,36,32,37,27.0,38.0,32.0,41.0,32.0,21.0,28.0,23.0,30.0,35.0,38.0,30.0,31.0,32.0,23.0,33.0,30.0,26.0,29.0,32.0,24.0,33.0,28.0,24.0,30.0
38,32,29,30,29,29,39,29.0,33.0,29.0,30.0,25.0,28.0,30.0,34.0,39.0,33.0,40.0,30.0,28.0,36.0,27.0,42.0,24.0,26.0,33.0,27.0,27.0,26.0,26.0,31.0,41.0
38,36,25,46,34,36,38,38.0,27.0,27.0,29.0,26.0,23.0,34.0,26.0,37.0,31.0,25.0,28.0,45.0,30.0,32.0,30.0,29.0,38.0,22.0,32.0,26.0,28.0,32.0,28.0,24.0
37,35,29,43,26,30,32,27.0,49.0,24.0,29.0,36.0,33.0,26.0,23.0,38.0,35.0,37.0,25.0,34.0,29.0,25.0,35.0,28.0,30.0,41.0,25.0,23.0,23.0,25.0,34.0,34.0
34,26,35,25,37,38,39,37.0,32.0,31.0,31.0,29.0,24.0,35.0,32.0,31.0,26.0,34.0,36.0,44.0,29.0,27.0,37.0,33.0,29.0,23.0,24.0,27.0,37.0,30.0,21.0,27.0
31,32,32,34,28,41,24,32.0,28.0,22.0,36.0,47.0,34.0,35.0,41.0,39.0,35.0,35.0,26.0,31.0,37.0,32.0,33.0,34.0,21.0,28.0,23.0,30.0,27.0,20.0,19.0,33.0
44,35,31,39,33,43,27,24.0,28.0,31.0,31.0,35.0,49.0,32.0,21.0,32.0,37.0,32.0,25.0,32.0,43.0,25.0,31.0,29.0,31.0,20.0,28.0,22.0,28.0,27.0,28.0,27.0
