date,time,pulse_type,A,l,p,x0,B,pi_amp,half_amp,drive_freq,duration,sigma,rb,N,beta,job_id
2024-10-05,80734,sq,-0.4928290905822131,237.2633156608828,0.0959419422500807,-0.0009781616814478,0.4946331851719316,0.1379537456902639,0.0682563088988261,{42: 4635663704.124764},160,160.0,1,1.0,0.0,
2024-10-05,95931,sq,-0.4104890895899059,11.63068660271534,0.9164391606434534,0.0145091020947862,0.5474508258115686,0.3580831664315789,0.1728292073235316,4674074141.247396,64,64.0,1,1.0,0.0,
2024-10-30,222924,sq,-0.493220404833456,28.50288935070615,0.4999999988720988,0.0007918538131727,0.4948128568090134,0.2343542603617358,0.1141655303815331,{42: 4635663704.124764},96,100.0,1,1.0,0.0,
2024-10-31,72222,sq,-0.4886805337731432,19.06642938937959,0.7948125569382303,0.0051845358070572,0.4946386041034208,0.2317149474362762,0.1133582854140909,4674071557.61614,96,96.0,1,1.0,0.0,
2024-10-31,73329,sech,-0.4843239726066831,46.92103933715588,0.5124015604862265,0.0067209727826953,0.5055943822771782,0.1419698219205464,0.0731740094772137,4674071557.61614,320,64.0,1,1.0,0.0,
2024-11-27,184759,ipN,-0.4923918181039303,844.767991280067,0.1798382327929803,0.0005087529759839,0.4960960957848704,0.0212263411428211,0.0108578983288297,{42: 4635663704.124764},1024,1024.0,0,0.0,0.0,
2024-11-27,184811,ipN,-0.4823813995375975,135.4516776751572,0.3875485937876115,0.003317507479627,0.4887570256637998,0.0638690308749478,0.0334156555181854,{42: 4635663704.124764},1024,1024.0,0,1.0,0.0,
2024-11-27,184813,ipN,-0.4696740768899644,86.69137169732691,0.3616979616811434,0.0039767088961596,0.4791835762810973,0.1060280148031668,0.0545315270501412,{42: 4635663704.124764},1024,1024.0,0,2.0,0.0,
2024-11-27,185344,ipN,-0.4784801939887359,60.27414327535546,0.3727612774317048,0.0050459544702277,0.4910828930335836,0.1486477606197615,0.0758861111466577,{42: 4635663704.124764},1024,1024.0,0,3.0,0.0,
2024-11-27,185350,ipN,-0.4738373588055548,68.92144039564573,0.2402444536128787,-0.0031253070536497,0.4687527507280474,0.1910676666700813,0.0928388028462667,{42: 4635663704.124764},1024,1024.0,0,4.0,0.0,
2024-11-27,185355,ipN,-0.4634870139686496,65.93342917815767,0.2008374632968583,-0.0067581131867791,0.4607859535503755,0.2363265683421834,0.1133009350847166,{42: 4635663704.124764},1024,1024.0,0,5.0,0.0,
2024-11-27,194926,ipN,-0.4933879399208418,985.7895715911012,0.2420025081675663,0.0004312004486215,0.5038407709708665,0.0136210161959194,0.0070208456399677,{42: 4635663704.124764},1600,1600.0,0,0.0,0.0,
2024-11-27,194944,ipN,-0.4678292755700753,214.85455069405103,0.3841810136177266,0.0031375871274298,0.4833988404166529,0.04147864135346,0.0222375198674877,{42: 4635663704.124764},1600,1600.0,0,1.0,0.0,
2024-11-27,195001,ipN,-0.4759354907303284,137.58992456618768,0.3579395026979188,0.003077316292379,0.4858341318399412,0.0676070039235946,0.0351558531326597,{42: 4635663704.124764},1600,1600.0,0,2.0,0.0,
2024-11-27,195957,ipN,-0.4720158659129212,110.34994293899564,0.3142829335102591,0.0023471118953089,0.4725037200711057,0.0942467108725997,0.0479651369254831,{42: 4635663704.124764},1600,1600.0,0,3.0,0.0,
2024-11-30,201427,fcq,-0.4808681456158558,396.5566394925376,0.3037880174467387,0.0010160433792621,0.4945605508478256,0.0271978730013967,0.0140809278711955,4674077172.127074,800,800.0,0,0.0,0.0,
2024-11-30,201427,fcq,-0.478605427283506,1091.4690634855897,0.1812823569729338,0.0003243212278743,0.4932354236410094,0.016224744013765,0.0082688035690576,4674077172.127074,800,800.0,0,0.0,-1.0,
2024-11-30,201406,fcq,-0.4782343809981067,374.705904701541,0.3738252348247451,0.000679314863468,0.4931402729586165,0.0232018726346401,0.0119168902334114,4674077172.127074,800,800.0,0,0.0,-0.25,
2024-12-01,80549,fcq,-0.4663158740931447,177.58495209724413,0.4731328915214327,0.0042365812672472,0.495883842908332,0.0419617043119169,0.0230149744579811,{42: 4635663704.124764},800,800.0,0,0.0,0.5,
2024-12-01,80533,fcq,-0.4840233248225127,490.2658742825093,0.2039274410991754,0.0013271252640968,0.4968506047305018,0.0328508650336046,0.0170636636783003,{42: 4635663704.124764},800,800.0,0,0.0,0.25,
2024-12-01,80608,fcq,-0.4650101867131942,105.03193937656935,0.3940018461015386,0.0040806505266194,0.4895388610459245,0.0811546181917465,0.0423250797019602,{42: 4635663704.124764},800,800.0,0,0.0,1.0,
2024-12-01,101055,fcq,-0.4731801519925542,152.03451116726467,0.4114683696221884,0.0040480634979189,0.501774356505901,0.0547935493796644,0.0292883620968205,{42: 4635663704.124764},800,800.0,0,0.0,0.75,
2025-01-03,194118,sq,-0.4869182468685514,11.42733737030398,0.9410121050015914,0.0110986358437262,0.4961422104806983,0.3527222598013649,0.1682413535440406,4674061897.242286,64,64.0,0,1.0,0.0,
2025-01-13,224345,sin,-0.485131867396572,316.31520483759294,0.24325612620045847,0.0017489323425508663,0.49754099366543264,0.04278178100571927,0.022214160756288712,{46: 4674088553.602355},800,800.0,0,1.0,0.0,
