frequency_ghz,transition_probability
4.956680513550871,0.02490234375
4.956980513550871,0.02392578125
4.957280513550871,0.02490234375
4.957580513550871,0.0263671875
4.957880513550871,0.02685546875
4.958180513550871,0.0283203125
4.958480513550871,0.0263671875
4.958780513550871,0.02587890625
4.959080513550871,0.0244140625
4.959380513550871,0.02197265625
4.959680513550871,0.03125
4.959980513550871,0.02880859375
4.960280513550871,0.03662109375
4.9605805135508705,0.02734375
4.960880513550871,0.0458984375
4.961180513550871,0.041015625
4.961480513550871,0.05224609375
4.961780513550871,0.0439453125
4.9620805135508705,0.0498046875
4.962380513550871,0.052734375
4.962680513550871,0.07861328125
4.962980513550871,0.0849609375
4.963280513550871,0.0859375
4.963580513550871,0.09765625
4.963880513550871,0.10693359375
4.964180513550871,0.11474609375
4.964480513550871,0.13134765625
4.9647805135508705,0.1455078125
4.965080513550871,0.16748046875
4.965380513550871,0.18896484375
4.965680513550871,0.2109375
4.965980513550871,0.20556640625
4.9662805135508705,0.265625
4.966580513550871,0.28515625
4.966880513550871,0.32666015625
4.967180513550871,0.34912109375
4.967480513550871,0.40966796875
4.967780513550871,0.416015625
4.968080513550871,0.5185546875
4.968380513550871,0.54638671875
4.968680513550871,0.60009765625
4.968980513550871,0.65087890625
4.969280513550871,0.6875
4.969580513550871,0.7578125
4.969880513550871,0.8017578125
4.970180513550871,0.83837890625
4.9704805135508705,0.88525390625
4.970780513550871,0.9033203125
4.971080513550871,0.9267578125
4.971380513550871,0.9404296875
4.971680513550871,0.95166015625
4.971980513550871,0.93798828125
4.972280513550871,0.9296875
4.972580513550871,0.92333984375
4.972880513550871,0.89501953125
4.973180513550871,0.85498046875
4.973480513550871,0.8095703125
4.973780513550871,0.77490234375
4.974080513550871,0.716796875
4.974380513550871,0.6669921875
4.9746805135508705,0.60302734375
4.974980513550871,0.55419921875
4.975280513550871,0.52294921875
4.975580513550871,0.46923828125
4.975880513550871,0.43603515625
4.9761805135508705,0.3798828125
4.976480513550871,0.33935546875
4.976780513550871,0.3017578125
4.977080513550871,0.28759765625
4.977380513550871,0.2548828125
4.977680513550871,0.216796875
4.977980513550871,0.1826171875
4.978280513550871,0.17626953125
4.978580513550871,0.1494140625
4.9788805135508705,0.14453125
4.979180513550871,0.10595703125
4.979480513550871,0.10888671875
4.979780513550871,0.09423828125
4.980080513550871,0.08740234375
4.9803805135508705,0.08203125
4.980680513550871,0.07421875
4.980980513550871,0.06298828125
4.981280513550871,0.0654296875
4.981580513550871,0.0498046875
4.981880513550871,0.04296875
4.982180513550871,0.04638671875
4.982480513550871,0.0400390625
4.982780513550871,0.04833984375
4.983080513550871,0.0390625
4.983380513550871,0.0400390625
4.983680513550871,0.0322265625
4.983980513550871,0.025390625
4.984280513550871,0.02880859375
4.9845805135508705,0.02099609375
4.984880513550871,0.0244140625
4.985180513550871,0.0234375
4.985480513550871,0.02001953125
4.985780513550871,0.02880859375
4.986080513550871,0.0244140625
4.986380513550871,0.01953125
