frequency_ghz,transition_probability
4.956680513550871,0.0205078125
4.957680513550871,0.02099609375
4.9586805135508705,0.029296875
4.959680513550871,0.02978515625
4.960680513550871,0.03271484375
4.961680513550871,0.03515625
4.962680513550871,0.0478515625
4.963680513550871,0.072265625
4.964680513550871,0.09033203125
4.965680513550871,0.1171875
4.9666805135508705,0.1796875
4.967680513550871,0.2646484375
4.968680513550871,0.3125
4.969680513550871,0.5419921875
4.970680513550871,0.84375
4.971680513550871,0.92041015625
4.972680513550871,0.83203125
4.973680513550871,0.5478515625
4.9746805135508705,0.384765625
4.975680513550871,0.27587890625
4.976680513550871,0.16748046875
4.977680513550871,0.11376953125
4.978680513550871,0.09619140625
4.979680513550871,0.08642578125
4.980680513550871,0.048828125
4.981680513550871,0.03515625
4.9826805135508705,0.0341796875
4.983680513550871,0.02294921875
4.984680513550871,0.02490234375
4.985680513550871,0.021484375
