date,time,pulse_type,A,l,p,x0,B,pi_amp,half_amp,drive_freq,duration,sigma,rb,N,beta,job_id
2023-12-08,91322,sin,-0.4995386853100485,3873.8654448283023,0.009105585471629,-6.7231687041413e-05,0.4991122381325327,0.0890319315009491,0.044473314137798,5019850020.72268,192,192.0,0,1.0,0,cnsc4918ybr00084122g
2023-12-08,91618,sq,-0.4955956087482632,56996.88258651841,0.0009730975345329,0.0003368783565426,0.4998716899546016,0.0569809373991658,0.0286585175989124,5019850020.72268,192,192.0,0,1.0,0,
2024-06-04,165342,sq,-0.48642521687504453,5507.204347134248,0.00888482587484132,-0.00021642935783279944,0.4977974816901847,0.06400702510053469,0.031890717019441135,5019850020.72268,160,160.0,1,1.0,0,
