date,time,pulse_type,A,l,p,x0,B,pi_amp,half_amp,drive_freq,duration,sigma,rb,N,beta,job_id
2024-12-19,134258,lz,-0.4000000000000001,7.132411251815077,100.0,0.0017110021918367,0.4000000000000001,0.0075175320810253,0.0041986106019467,4603990100.133305,160,160.0,0,1.0,1.0,
2024-12-19,134519,lz,-0.5999999999999999,9999.99725391139,0.0002596449118125,0.0249999999999999,0.5741500117076956,1.2351477661298458,0.6300263531938389,4603990100.133305,1008,1000.0,0,1.0,1.0,
2024-12-19,143743,lz,-0.5143332769827811,9893.123851738348,0.0002984452356299,0.0249999999999999,0.5174332277439299,1.0891938415707003,0.5570546718135508,4603990100.133305,1008,1000.0,0,1.0,0.3,
2024-12-19,150855,lz,-0.4000000000000184,14.544543047001484,1.5610946187695762,0.0249999999999997,0.503786115497351,0.180880203334234,0.0982101956435282,4603990100.133305,1008,1000.0,0,1.0,0.1,
2024-12-19,152155,lz,-0.4000000000000001,813.1438483659496,0.0064360511937403,0.024999999997478,0.4599228020593762,0.6264552319211353,0.3254365872415262,4603990100.133305,1008,1000.0,0,1.0,0.4,
2024-12-19,155734,lz,-0.4000000000000001,7.39011970230024,51.19213948583879,0.0035598033588299,0.4000000000000001,0.0143734085758359,0.0082277062561098,4603990100.133305,160,160.0,0,1.0,0.4,
2024-12-19,155851,lz,-0.585940445252452,7.258824792684311,100.0,-0.0006180405856122,0.4000000000000001,0.0050523275619053,0.0018205018584651,4603990100.133305,160,160.0,0,1.0,0.05,
2024-12-19,160529,lz,-0.4019426653379299,9.231655747785444,8.230369528670185,0.0149075648465467,0.4000000000000046,0.0654496427739604,0.0375692747481448,4603990100.133305,160,160.0,0,1.0,0.005,
2024-12-19,160837,lz,-0.4000000000000001,4801.241566173392,0.0023621328131249,0.0249999999999999,0.5999999999999999,0.3020984696995685,0.1635265632288255,4603990100.133305,320,320.0,0,1.0,0.005,
2024-12-19,161014,lz,-0.4000000000000001,13.887528081919513,0.8733444658369225,-0.0249999999999999,0.5999999999999999,0.2686568601630152,0.1124400805907535,4603990100.133305,160,160.0,0,1.0,0.0005,
2024-12-23,123803,dk2,-0.4000000000000001,8.717553137884485,5.078747733485201,0.0249999999999999,0.4000000000000001,0.1129890145870095,0.0641198666619857,4603988726.452236,160,160.0,0,1.0,0.5,
2024-12-23,130541,dk2,-0.4000000000000001,4.482328674167431,2.074593055411296,0.0249999999993658,0.4000000000000127,0.6067642015696052,0.2329748513345106,4603988726.452236,160,160.0,0,1.0,0.1,
2024-12-23,131714,dk2,-0.4000000000000001,10.117365287986926,1.6511403627640011,-0.0023121214322036,0.5999999999999999,0.2228717561968463,0.0998738437407619,4603988726.452236,160,160.0,0,1.0,0.03,
2024-12-23,145003,dk2,-0.4000000000000001,9.223873735775225,1.69950908337038,-0.024999999999999998,0.5999999999999999,0.22002092673556883,0.0848477515690341,4603988726.452236,1024,1024.0,0,1.0,0.03,
