date,time,A,k,B,drive_freq,pi_duration,pi_amp,pulse_type,l,half_amp,p,cutoff,G,sigma,x0
2022-04-05,15:37:17,-2.0100738889712533,5.808587213807652,-8.469447781860891,4971776352.449752,224,0.5408531434497327,,,,,,,,
2022-04-05,15:44:39,-2.106058472374334,5.470207783765392,-8.359769088976108,4971744786.3974085,224,0.5743095651528053,,,,,,,,
2022-04-05,15:48:14,-0.5749309218872724,42.52131091253708,-8.256007927075984,4971780982.083318,2256,0.0738827798618861,,,,,,,,
2022-04-05,15:53:55,1.1369913318303428,48.05387728926694,-8.303558606446282,4971636850.242113,2256,0.0653764655592418,,,,,,,,
2022-04-05,15:59:21,-1.6283496533861623,54.84928429103821,-8.234660193415154,4971758546.311061,2256,0.0572768212784701,,,,,,,,
2022-04-05,16:07:54,-1.909760066129516,56.4015517342077,-8.461648870538896,4971571439.725328,2256,0.0557004649161879,,,,,,,,
2022-04-05,16:29:01,-2.0970765717087545,5.480022204848953,-8.398616083175765,4971641511.759025,224,0.573281008024015,,,,,,,,
2022-04-05,18:40:12,-2.0765241931403025,11.16905011328151,-8.198730262386118,4971642190.44785,448,0.2812766190254634,,,,,,,,
2022-04-06,11:28:50,-2.0908814044297173,11.125734055096087,-8.328265492990736,4971716728.348106,448,0.2823717192980001,,,,,,,,
2022-04-06,11:46:37,7325.633433760273,0.0502746779114009,-7333.282882126489,4971568154.456065,1808,62.4885684822531,,,,,,,,
2022-04-06,14:26:58,-2.061953873582324,11.063388912452185,-8.190916839765077,4971813512.276739,448,0.2839629591303469,,,,,,,,
2022-04-06,14:41:31,-2.073243967629194,11.222326749083658,-8.246848354526229,4971637989.849406,448,0.2799412923747132,,,,,,,,
2022-04-06,14:45:00,9219.46324951717,0.0356027362117171,-9227.107890834402,4971759958.317527,448,88.24020252004883,,,,,,,,
2022-04-06,16:45:34,-2.055008276201699,5.666138879670176,-8.187474700595347,4971931369.045979,224,0.5544503444597292,,,,,,,,
2022-04-14,17:53:11,-4.6713200785918,1.4374281790921915e-06,-4.031428327295052,4971730000.0,896,2185564.9550253474,,,,,,,,
2022-04-14,18:07:55,-3.381371885899721,-0.0005366972781812,-5.359785344207038,4971730000.0,896,-5853.565466617932,,,,,,,,
2022-04-14,18:13:28,-2.100756071928772,21.70720004056637,-8.623785712834756,4971730000.0,896,0.1447258351016617,,,,,,,,
2022-04-14,18:17:33,-2.0605834444422624,22.569838228334984,-8.612623274173043,4971730000.0,896,0.1391942920373139,,,,,,,,
2022-04-14,18:30:34,-2.091038088341783,14.213789040752236,-8.323876555750601,4971730000.0,896,0.2210242915933646,,,,,,,,
2022-04-14,19:00:42,-0.0110789269647444,26.69857766389249,-10.61325761169225,4971730000.0,896,0.1176689145444075,,,,,,,,
2022-04-14,19:05:52,0.0052807603542759,21.499478782748827,-10.574163464919966,4971730000.0,896,0.1461241309771009,,,,,,,,
2022-04-14,19:18:50,0.0168520502644142,17.722606599910673,-10.500060740379178,4971730000.0,896,0.1772647062879355,,,,,,,,
2022-04-14,19:26:32,0.0143655295103033,18.68085206278536,-10.586777245495492,4971730000.0,896,0.1681718073153764,,,,,,,,
2022-04-14,19:31:27,0.1284413545529887,19.04419305418812,-10.4653977815537,4971730000.0,896,0.1649632853778967,,,,,,,,
2022-04-14,19:34:48,0.6060967481278561,19.419111259868863,-9.1940747588051,4971730000.0,896,0.1617783950845445,,,,,,,,
2022-04-14,19:38:56,-2.0401170980369727,15.593939612414587,-8.527993818265887,4971730000.0,896,0.2014624098639397,,,,,,,,
2022-04-14,19:48:10,0.4703651175319623,19.263304906776668,-9.452989214786038,4971730000.0,896,0.1630868985770249,,,,,,,,
2022-04-14,19:48:48,0.3731497400940142,19.05750603746077,-9.898361852874558,4971730000.0,896,0.1648480471376715,,,,,,,,
2022-04-14,19:52:22,0.3333254604240634,21.26327620648353,-8.118765937279004,4971730000.0,896,0.1477473472611839,,,,,,,,
2022-04-14,19:55:15,-2.0791799762059844,15.523137429325391,-8.47603148250778,4971730000.0,896,0.2023812948827524,,,,,,,,
2022-04-14,20:05:12,-2.1015740609488294,15.48346032363792,-8.482389856830666,4971730000.0,896,0.2028999066050927,,,,,,,,
2022-04-14,20:05:47,-2.135512105034517,12.132410581896576,-8.542090776909726,4971730000.0,896,0.2589421642453753,,,,,,,,
2022-04-14,20:15:57,0.3461183474318314,21.267974975410382,-8.216626778594973,4971730000.0,896,0.1477147051951133,,,,,,,,
2022-04-14,20:21:05,-2.0786060389526475,14.1907364729087,-8.449633777683335,4971730000.0,896,0.221383341138591,,,,,,,,
2022-04-14,20:21:49,-2.097500624506693,13.723114306145234,-8.513562488900327,4971730000.0,896,0.2289270921676272,,,,,,,,
2022-04-14,21:11:19,0.0006654248546294,20.6441490119196,-10.623921121712648,4971730000.0,896,0.1521783558031812,,,,,,,,
2022-04-14,21:11:41,0.0190428843521647,22.17601899160181,-10.643884518623777,4971730000.0,896,0.1416662140657226,,,,,,,,
2022-04-14,21:16:29,0.013281673863506,21.80865528993657,-10.649859088162156,4971730000.0,896,0.1440525613259362,,,,,,,,
2022-04-14,21:16:32,-0.0237777643326815,16.351249751978298,-10.700715808570166,4971730000.0,896,0.192131653619302,,,,,,,,
2022-04-14,21:20:07,0.0192539870262292,19.573665590625435,-10.621819199649584,4971730000.0,896,0.1605009873620412,,,,,,,,
2022-04-14,21:20:39,0.0542098956541588,18.63833021872864,-10.524008836258458,4971730000.0,896,0.1685554777022342,,,,,,,,
