date,time,pulse_type,A,l,p,x0,B,pi_amp,half_amp,drive_freq,duration,sigma,rb
2023-02-27,224639,lor,-0.4740061946421095,82611.45339098985,0.0013221024819337,0.0047460668214691,0.4854119081972406,0.0335102964609023,0.0191280449059339,4962284031.287086,3840,192,1
2023-02-27,224655,lor,-0.4763099333719007,3110.9635789310923,0.0313567693260687,0.0032061326937546,0.4883600988453059,0.0354274292699659,0.0193127116104429,4962284031.287086,1920,192,1
2023-02-27,224745,lor,-0.4752979750728935,6697.814067449683,0.0124997534071699,0.0023003316638875,0.4869745927550447,0.0398336716071876,0.0210648005045948,4962284031.287086,1152,192,1
2023-02-27,224800,lor,-0.4755084225819119,2809.490661822634,0.0250102184651646,0.001766945850709,0.4877562923797587,0.0465019748549298,0.024128203975655,4962284031.287086,768,192,1
2023-02-27,224821,lor,-0.4750787291899726,16966.70220525527,0.0026736299110755,0.0014193535704156,0.4834140920093034,0.0706807677536964,0.0360484574387456,4962284031.287086,384,192,1
2023-02-27,224830,lor,-0.4754048198590042,186.716239148901,0.1389106076096869,0.0023923264411467,0.4867877631170914,0.1245474973005877,0.0632108139519845,4962284031.287086,192,192,1
2023-02-27,224918,lor2,-0.4774155294806494,185.67987739276097,0.1363221730922973,0.0025740995438817,0.485536764626124,0.1277494165851932,0.0648947596733641,4962284031.287086,192,192,1
2023-02-27,224912,lor2,-0.4755330298301533,683.1550165587408,0.0613102550995027,0.0019742692252593,0.4869850892644232,0.0771535196359548,0.039520579389184,4962284031.287086,384,192,1
2023-02-27,224905,lor2,-0.4756383425471852,1740.3206239174758,0.0321103879815677,0.0025001797323147,0.4849070580754576,0.058768938847191,0.0306218509100379,4962284031.287086,768,192,1
2023-02-27,224858,lor2,-0.4725523678899986,1686.7441501387016,0.0353495276931565,0.0028763894689981,0.4821624337965348,0.055614164047922,0.0292329871749581,4962284031.287086,1152,192,1
2023-02-27,224851,lor2,-0.4744517239099797,42875.23429371002,0.0014302162090333,0.0038685843316609,0.485028141982919,0.055102503905971,0.0294850748444052,4962284031.287086,1920,192,1
2023-02-27,224840,lor2,-0.4746772212637155,11194.556451228664,0.0055115835099245,0.0048349570700931,0.4850515932861283,0.0557595465012923,0.0302954651275056,4962284031.287086,3840,192,1
2023-02-27,224924,lor3,-0.4714915744058132,64437.48558099837,0.0007211072456909,0.0038505546804183,0.4827023883164791,0.0714622794520611,0.0376560050123831,4962284031.287086,3840,192,1
2023-02-27,224933,lor3,-0.4727139418148885,4832.053057203723,0.00964603225053,0.0037465263792576,0.4820136186039058,0.0711699322250435,0.0374527480461133,4962284031.287086,1920,192,1
2023-02-27,225101,lor3,-0.4702999448909951,51048.49799169463,0.0009075973280537,0.0032549380551592,0.4788373524165264,0.0710638943155341,0.0371588945375327,4962284031.287086,1152,192,1
2023-02-27,225108,lor3,-0.4759661027135012,16966.66107335391,0.0026768698834231,0.00255972548388,0.4870401972327657,0.0717374762436008,0.0371469995731819,4962284031.287086,768,192,1
2023-02-27,225118,lor3,-0.4757161708302557,809.7164142545428,0.0472585036814623,0.0021170103303711,0.4851251147850342,0.0843755188064328,0.0432062929836234,4962284031.287086,384,192,1
2023-02-27,225127,lor3,-0.4762329260574117,164.5995360994081,0.1504937215075667,0.0030429485972632,0.48645238958853,0.1310932954519493,0.0667596731476608,4962284031.287086,192,192,1
2023-02-27,225218,sech,-0.4746219857080929,185.02744736768904,0.1442093101313134,0.0027087486371885,0.4856932875814579,0.121458777923472,0.061829569185988,4962284031.287086,192,192,1
2023-02-27,225210,sech,-0.4769458591675822,1277.2096160838332,0.0387371168511358,0.0016319635945722,0.4851555587869565,0.0652082375585712,0.0334005289311136,4962284031.287086,384,192,1
2023-02-27,225203,sech,-0.4740683741472302,2672.477325203537,0.0312633376929923,0.001691459988125,0.4834239607781259,0.0393146738604716,0.0204975352434887,4962284031.287086,768,192,1
2023-02-27,225155,sech,-0.4748220094046202,3607.033731109129,0.0287394439689793,0.0019404914820803,0.4848279029517295,0.0322591864363508,0.0170965367136366,4962284031.287086,1152,192,1
2023-02-27,225149,sech,-0.472545302636106,1943.4268925862968,0.0619269322059511,0.0026999592343467,0.4856149881504557,0.0288247823447975,0.015757087599337,4962284031.287086,1920,192,1
2023-02-27,225137,sech,-0.4729098465360505,3069.677907008421,0.0405011614203118,0.0033783373559047,0.4840259650099058,0.0286603658303456,0.0160161156468427,4962284031.287086,3840,192,1
2023-02-27,225224,sech2,-0.4738761333134828,1185.4061838448772,0.0670994305880068,0.0032558708973128,0.4857178744635629,0.0428052777931746,0.0230174551054476,4962284031.287086,3840,192,1
2023-02-27,225231,sech2,-0.4763738653499793,9103.651915960329,0.0086724934184164,0.0028500509250279,0.4843651552604051,0.0426484127775419,0.0227475147955891,4962284031.287086,1920,192,1
2023-02-27,225238,sech2,-0.4769958212915358,83288.20967222711,0.0009268397487357,0.002211446061276,0.4854580588659594,0.0429091479207957,0.0225601051000513,4962284031.287086,1152,192,1
2023-02-27,225244,sech2,-0.4745556096755589,908.4296752513168,0.077993358235427,0.0021636573613833,0.4851762076198059,0.046581041377389,0.024353115202922,4962284031.287086,768,192,1
2023-02-27,225250,sech2,-0.4766678465025313,680.5460602135975,0.0693682473431856,0.0016957312438849,0.4855679572084106,0.0683972884763638,0.0350079316305012,4962284031.287086,384,192,1
2023-02-27,225255,sech2,-0.4752525515884088,203.417975642907,0.1289369685486348,0.0023657225846606,0.4837806150785744,0.1230799613427158,0.0624879868155515,4962284031.287086,192,192,1
