date,time,pulse_type,A,l,p,x0,B,pi_amp,half_amp,drive_freq,duration,sigma,rb
2023-02-27,225353,gauss,-0.47517015050479,212.6227883954883,0.0275953997479521,0.008796757376142,0.4836934839909372,0.5482225974527954,0.2775059721866132,4962284031.287086,192,192,1
2023-02-27,225346,gauss,-0.475631367339771,12930.70166149456,0.0023343352014693,0.0023179581512396,0.4871429803401438,0.1064099512730619,0.0543607931051844,4962284031.287086,384,192,1
2023-02-27,225338,gauss,-0.4740363452957605,1463.1698180799713,0.0459568052601031,0.0019110199589147,0.4842217138342807,0.0486815148844628,0.0252837012296813,4962284031.287086,768,192,1
2023-02-27,225329,gauss,-0.4738431475132909,1625.7456818164978,0.0433064702363212,0.0022711778343445,0.4860608271851506,0.046935878735036,0.0245927290844803,4962284031.287086,1152,192,1
2023-02-27,225320,gauss,-0.4753370841427098,1314.949500965244,0.0535370993737687,0.0022726739997758,0.4854959060448905,0.0469518620326649,0.0245989089749676,4962284031.287086,1920,192,1
2023-02-27,225311,gauss,-0.4733545527108553,1080.8823475981417,0.0652105622507328,0.0023531397508302,0.486435315404662,0.0469891541980821,0.0246549065033416,4962284031.287086,3840,192,1
2023-02-27,225559,sin,-0.4754061597440603,84.7762697509951,0.304119025656424,0.0021505838464507,0.48476894220378,0.1263175266582603,0.0636479983592022,4962284031.287086,192,180,1
2023-02-28,3208,sin2,-0.4706069726299449,46.90610525326685,0.4414524115058768,0.0033222569522894,0.4825927591545851,0.1603597241563796,0.0804804436318462,4962284031.287086,192,180,1
2023-02-28,3212,sin3,-0.475135746256385,88.71698262754921,0.1950104013566312,0.0036717443464137,0.4855344522379405,0.1885520925043043,0.0952787634936297,4962284031.287086,192,180,1
2023-02-28,3214,sin4,-0.4795711981322735,30.9984358115022,0.499261816492884,0.0043381280229632,0.4892924571205266,0.2183703070760794,0.108496692854717,4962284031.287086,192,180,1
2023-02-28,003216,sin5,-0.4833555246736918,27.97719983169141,0.49999999832798503,0.004694304242605594,0.4926335062480975,0.24291728501880738,0.12026100261020436,4962284031.287086,192,180,1
